Date,0981.HK,NVDA,TSM
2015-01-02 00:00:00+00:00,100.0,100.0,100.0
2015-01-05 00:00:00+00:00,100.0,98.31097670604304,97.57629758130565
2015-01-06 00:00:00+00:00,95.94594342069442,95.33035363408895,95.87073587100296
2015-01-07 00:00:00+00:00,97.29729346588117,95.08196837809277,97.2621158368402
2015-01-08 00:00:00+00:00,94.59459337550766,98.65871488004336,97.89047932577112
2015-01-09 00:00:00+00:00,95.94594342069442,99.05613247403157,95.15260372342179
2015-01-12 00:00:00+00:00,97.29729346588117,97.81420619405068,93.3123890251437
2015-01-13 00:00:00+00:00,95.94594342069442,97.66517385605866,94.47934734435526
2015-01-14 00:00:00+00:00,95.94594342069442,98.06259145004687,94.52423167368039
2015-01-15 00:00:00+00:00,97.29729346588117,97.36711510204623,102.73787560234933
2015-01-16 00:00:00+00:00,94.59459337550766,99.15549131400734,101.43626429516237
2015-01-19 00:00:00+00:00,94.59459337550766,,
2015-01-20 00:00:00+00:00,95.94594342069442,99.4535559899914,103.63554506723105
2015-01-21 00:00:00+00:00,95.94594342069442,100.84450868599266,104.1741398975117
2015-01-22 00:00:00+00:00,95.94594342069442,102.58321139993751,106.4183049989055
2015-01-23 00:00:00+00:00,94.59459337550766,102.88127607592156,107.67504053757781
2015-01-26 00:00:00+00:00,94.59459337550766,102.43417906194547,108.43805701448413
2015-01-27 00:00:00+00:00,94.59459337550766,97.51614744003825,108.57271000245952
2015-01-28 00:00:00+00:00,93.24324333032088,95.92647706408545,107.40574312243749
2015-01-29 00:00:00+00:00,91.89189328513412,98.26130320802679,104.53321453211275
2015-01-30 00:00:00+00:00,91.89189328513412,95.38002713210521,101.92997479611788
2015-02-02 00:00:00+00:00,90.54053679620205,97.46646802005039,102.96229724897499
2015-02-03 00:00:00+00:00,93.24324333032088,99.90064116002422,103.90484248237138
2015-02-04 00:00:00+00:00,95.94594342069442,100.14903233799204,105.83482583929973
2015-02-05 00:00:00+00:00,93.24324333032088,101.78837621196111,106.1938919130903
2015-02-06 00:00:00+00:00,94.59459337550766,101.34127919798502,103.68042939655618
2015-02-09 00:00:00+00:00,93.24324333032088,101.2419322019525,101.75044603962782
2015-02-10 00:00:00+00:00,97.29729346588117,104.07352293591457,107.09156137797203
2015-02-11 00:00:00+00:00,95.94594342069442,103.37804658791391,109.02154473490037
2015-02-12 00:00:00+00:00,95.94594342069442,110.77993076978288,109.82943698032135
2015-02-13 00:00:00+00:00,98.64864995481324,110.82960426779913,111.49012292210938
2015-02-16 00:00:00+00:00,97.29729346588117,,
2015-02-17 00:00:00+00:00,95.94594342069442,111.17734244179947,111.17594117764394
2015-02-18 00:00:00+00:00,93.24324333032088,109.88573674183071,110.90663520169312
2015-02-19 00:00:00+00:00,,110.18380141781476,110.053858626947
2015-02-20 00:00:00+00:00,,110.97863660579117,109.69479255315642
2015-02-23 00:00:00+00:00,93.24324333032088,110.08445442178225,108.70735442962444
2015-02-24 00:00:00+00:00,91.89189328513412,110.82960426779913,112.38779238699111
2015-02-25 00:00:00+00:00,94.59459337550766,109.98509558180646,112.38779238699111
2015-02-26 00:00:00+00:00,91.89189328513412,110.28316025779053,110.77199077452819
2015-02-27 00:00:00+00:00,91.89189328513412,109.5876839097899,110.09874295627216
2015-03-02 00:00:00+00:00,94.59459337550766,112.27024230575992,110.54756912790253
2015-03-03 00:00:00+00:00,94.59459337550766,110.18380141781476,109.96408996829675
2015-03-04 00:00:00+00:00,94.59459337550766,111.42573361976727,109.20107349139043
2015-03-05 00:00:00+00:00,91.89189328513412,113.56184800572868,109.78455265099623
2015-03-06 00:00:00+00:00,94.59459337550766,112.02186297173537,108.12387527001866
2015-03-09 00:00:00+00:00,94.59459337550766,112.31991580377618,105.25134667969394
2015-03-10 00:00:00+00:00,93.24324333032088,114.2573243537293,103.4560077499305
2015-03-11 00:00:00+00:00,93.24324333032088,113.66120684570444,105.430875436184
2015-03-12 00:00:00+00:00,93.24324333032088,112.61798047976023,105.61041275348452
2015-03-13 00:00:00+00:00,90.54053679620205,112.76701281775227,107.18132147581181
2015-03-16 00:00:00+00:00,93.24324333032088,114.10829201573729,108.97666040557526
2015-03-17 00:00:00+00:00,93.24324333032088,115.49925655568181,109.11130483274016
2015-03-18 00:00:00+00:00,91.89189328513412,113.61152150374494,110.90663520169312
2015-03-19 00:00:00+00:00,91.89189328513412,115.35022421768979,110.68222211587792
2015-03-20 00:00:00+00:00,91.89189328513412,116.59214457569902,111.17594117764394
2015-03-23 00:00:00+00:00,91.89189328513412,112.81668631576854,111.31058560480884
2015-03-24 00:00:00+00:00,93.24324333032088,111.27670128177523,109.96408996829675
2015-03-25 00:00:00+00:00,97.29729346588117,104.52061994989063,104.03949547034676
2015-03-26 00:00:00+00:00,97.29729346588117,104.17286993194708,104.12926412899704
2015-03-27 00:00:00+00:00,95.94594342069442,106.20963732187599,102.96229724897499
2015-03-30 00:00:00+00:00,101.35135004518676,106.65673433585208,104.35367721481221
2015-03-31 00:00:00+00:00,101.35135004518676,103.97416409593878,105.38599110685887
2015-04-01 00:00:00+00:00,106.75675666967912,104.37158761189862,104.26390855616197
2015-04-02 00:00:00+00:00,105.40540662449236,104.61996694592317,106.32854490106571
2015-04-06 00:00:00+00:00,,107.65027535983675,105.65529708280965
2015-04-07 00:00:00+00:00,,108.5941428858052,104.98204070374312
2015-04-08 00:00:00+00:00,117.56756347491853,109.38896622983836,104.12926412899704
2015-04-09 00:00:00+00:00,125.6756766335297,111.92250413175961,105.20646235036881
